PlantID,Treatment,T1_strain,T2_strain,Block,Leaf1,Leaf2,Leaf3,Leaf4,Dead1,Dead2,Dead3,Dead4,ExtraNN,Notes,Pink_nod_num,White_nod_num,Total_nod_num,Proportion_pink_count,Proportion_pink,Above_biomass,Leaf4attached,LeafWeightAprox
34,BB,B,B,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,,,
35,BG,B,G,1,2,3,4,4,0,0,0,0,0,0,9,1,10,  9/10,0.9,0.008,2,0.004
36,GN,G,N,1,2,3,4,5,0,0,0,0,0,0,5,0,5,1,1,0.0136,3,0.004533333
37,NB,N,B,1,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
38,NN,N,N,1,2,3,3,6,0,0,0,0,0,0,4,0,4,1,1,0.0111,4,0.002775
39,BB,B,B,1,2,3,4,7,0,0,0,0,0,0,17,5,22, 17/22,0.772727273,0.016,5,0.0032
40,NG,N,G,1,2,2,4,5,0,0,0,0,0,0,5,0,5,1,1,0.0211,4,0.005275
41,NN,N,N,1,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
42,GG,G,G,1,2,2,2,2,0,0,1,1,0,0,NA,NA,NA,NA,NA,,,
43,BB,B,B,1,2,3,3,4,0,0,0,0,0,0,1,11,12,  1/12,0.083333333,0.0068,3,0.002266667
44,BG,B,G,1,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
45,NN,N,N,1,2,2,2,2,0,0,1,1,1,0,0,0,0,NA,NA,,,
46,GB,G,B,1,2,2,3,4,0,0,0,0,0,0,3,0,3,1,1,0.0009,1,0.0009
47,GB,G,B,1,2,3,3,5,0,0,0,0,0,0,7,3,10,  7/10,0.7,0.0102,4,0.00255
48,BN,B,N,1,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
49,NG,N,G,1,2,2,3,5,0,0,0,0,0,0,5,0,5,1,1,0.0052,3,0.001733333
50,NB,N,B,1,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
51,NG,N,G,1,2,2,2,2,0,0,1,1,0,0,2,0,2,1,1,,,
52,BG,B,G,1,2,3,3,3,0,0,0,1,0,0,0,0,0,NA,NA,,,
53,BN,B,N,1,NA,NA,NA,NA,1,1,1,1,0,HERBIVORY DEATH,NA,NA,NA,NA,NA,,,
54,GG,G,G,1,2,3,4,5,0,0,0,0,0,0,8,0,8,1,1,0.0103,3,0.003433333
55,NN,N,N,1,2,3,4,6,0,0,0,0,0,0,4,0,4,1,1,0.0102,4,0.00255
